@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 {0,1,2,3}

@data
1,'2023/10/23 11:07:32:870',1,635.860779,489.575134,-0.00119,584.124634,479.883636,19.839523,530.758484,472.049591,27.932093,489.412201,473.765594,32.234028,461.483551,482.324677,35.784458,483.370392,437.022522,16.725725,411.372559,442.653534,20.42531,370.97876,449.74295,23.730295,341.702881,456.088226,25.701269,477.677521,448.062958,6.006237,392.578644,446.326569,7.4599,344.484161,455.690674,10.041441,310.936157,464.931854,12.244651,477.07959,466.492493,-3.500094,396.052582,460.416199,-3.295583,345.708282,467.027832,-1.551016,309.475647,474.215118,-0.352027,482.121338,490.818848,-11.332909,418.041992,481.784027,-12.096045,378.348785,481.797058,-11.960486,345.998993,483.839203,-12.148826,1
2,'2023/10/23 11:07:32:900',1,635.860779,489.575134,-0.00119,584.124634,479.883636,19.839523,530.758484,472.049591,27.932093,489.412201,473.765594,32.234028,461.483551,482.324677,35.784458,483.370392,437.022522,16.725725,411.372559,442.653534,20.42531,370.97876,449.74295,23.730295,341.702881,456.088226,25.701269,477.677521,448.062958,6.006237,392.578644,446.326569,7.4599,344.484161,455.690674,10.041441,310.936157,464.931854,12.244651,477.07959,466.492493,-3.500094,396.052582,460.416199,-3.295583,345.708282,467.027832,-1.551016,309.475647,474.215118,-0.352027,482.121338,490.818848,-11.332909,418.041992,481.784027,-12.096045,378.348785,481.797058,-11.960486,345.998993,483.839203,-12.148826,1
3,'2023/10/23 11:07:32:901',1,635.860779,489.575134,-0.00119,584.124634,479.883636,19.839523,530.758484,472.049591,27.932093,489.412201,473.765594,32.234028,461.483551,482.324677,35.784458,483.370392,437.022522,16.725725,411.372559,442.653534,20.42531,370.97876,449.74295,23.730295,341.702881,456.088226,25.701269,477.677521,448.062958,6.006237,392.578644,446.326569,7.4599,344.484161,455.690674,10.041441,310.936157,464.931854,12.244651,477.07959,466.492493,-3.500094,396.052582,460.416199,-3.295583,345.708282,467.027832,-1.551016,309.475647,474.215118,-0.352027,482.121338,490.818848,-11.332909,418.041992,481.784027,-12.096045,378.348785,481.797058,-11.960486,345.998993,483.839203,-12.148826,1
4,'2023/10/23 11:07:32:901',1,635.022583,490.470734,-0.001359,582.775208,483.164093,20.363884,528.882751,475.90863,28.601852,487.095703,478.326569,32.924263,458.460297,487.076508,36.418083,483.006744,437.861725,17.201704,410.460052,443.966064,20.94343,369.956512,451.053894,24.323349,340.938721,457.272705,26.389215,477.665344,448.81369,6.234445,392.342621,446.934906,7.729072,343.7995,455.824738,10.51131,310.270599,464.575439,12.971234,476.872803,467.679504,-3.51625,395.738831,460.797852,-3.205744,345.276733,466.226868,-1.293538,309.428436,472.388184,0.115787,480.988007,493.096588,-11.569502,416.973419,483.191742,-12.333869,377.499084,482.144714,-12.249599,345.46048,483.268097,-12.378521,1
5,'2023/10/23 11:07:32:912',1,635.022583,490.470734,-0.001359,582.775208,483.164093,20.363884,528.882751,475.90863,28.601852,487.095703,478.326569,32.924263,458.460297,487.076508,36.418083,483.006744,437.861725,17.201704,410.460052,443.966064,20.94343,369.956512,451.053894,24.323349,340.938721,457.272705,26.389215,477.665344,448.81369,6.234445,392.342621,446.934906,7.729072,343.7995,455.824738,10.51131,310.270599,464.575439,12.971234,476.872803,467.679504,-3.51625,395.738831,460.797852,-3.205744,345.276733,466.226868,-1.293538,309.428436,472.388184,0.115787,480.988007,493.096588,-11.569502,416.973419,483.191742,-12.333869,377.499084,482.144714,-12.249599,345.46048,483.268097,-12.378521,1
6,'2023/10/23 11:07:32:925',1,633.118103,489.309326,-0.001279,579.367859,480.062225,19.674505,525.749939,472.145721,27.554924,484.149994,473.776581,31.696568,456.559784,482.284485,35.139606,480.689728,437.159576,15.885406,407.624268,443.041779,19.080498,366.218964,450.082336,21.947203,336.191895,456.713623,23.634611,475.888184,448.014221,5.192806,390.600464,446.557434,6.157001,341.78009,455.976593,8.391737,307.649414,465.858704,10.352224,476.016632,466.349701,-4.247032,395.632385,460.463348,-4.262206,345.551605,467.103668,-2.756063,309.606293,474.603149,-1.735537,481.46106,490.726013,-12.011061,418.478943,481.639679,-12.783548,379.757507,481.8573,-12.678301,348.136871,484.269562,-12.910407,1
7,'2023/10/23 11:07:32:937',1,633.118103,489.309326,-0.001279,579.367859,480.062225,19.674505,525.749939,472.145721,27.554924,484.149994,473.776581,31.696568,456.559784,482.284485,35.139606,480.689728,437.159576,15.885406,407.624268,443.041779,19.080498,366.218964,450.082336,21.947203,336.191895,456.713623,23.634611,475.888184,448.014221,5.192806,390.600464,446.557434,6.157001,341.78009,455.976593,8.391737,307.649414,465.858704,10.352224,476.016632,466.349701,-4.247032,395.632385,460.463348,-4.262206,345.551605,467.103668,-2.756063,309.606293,474.603149,-1.735537,481.46106,490.726013,-12.011061,418.478943,481.639679,-12.783548,379.757507,481.8573,-12.678301,348.136871,484.269562,-12.910407,1
8,'2023/10/23 11:07:32:949',1,633.118103,489.309326,-0.001279,579.367859,480.062225,19.674505,525.749939,472.145721,27.554924,484.149994,473.776581,31.696568,456.559784,482.284485,35.139606,480.689728,437.159576,15.885406,407.624268,443.041779,19.080498,366.218964,450.082336,21.947203,336.191895,456.713623,23.634611,475.888184,448.014221,5.192806,390.600464,446.557434,6.157001,341.78009,455.976593,8.391737,307.649414,465.858704,10.352224,476.016632,466.349701,-4.247032,395.632385,460.463348,-4.262206,345.551605,467.103668,-2.756063,309.606293,474.603149,-1.735537,481.46106,490.726013,-12.011061,418.478943,481.639679,-12.783548,379.757507,481.8573,-12.678301,348.136871,484.269562,-12.910407,1
9,'2023/10/23 11:07:32:962',1,634.249207,491.179718,-0.001279,579.695557,481.84491,19.64002,525.653259,473.949768,27.346544,483.81311,475.873688,31.293812,455.470184,484.313568,34.532944,480.934906,437.782166,15.324514,407.809296,443.883789,18.234037,366.148224,451.076385,20.99634,335.817993,457.682953,22.59244,476.886932,448.493073,4.452472,391.084564,446.965942,5.007068,341.631927,456.252502,7.079012,306.929657,465.810303,8.961863,477.660431,466.912354,-5.152218,396.595886,460.62738,-5.568089,345.400116,466.800629,-4.207671,308.432953,473.760315,-3.240552,483.633881,491.756561,-13.069288,420.02774,481.891052,-14.248534,380.431244,481.601135,-14.394347,347.852234,483.548492,-14.775442,1
10,'2023/10/23 11:07:32:973',1,634.249207,491.179718,-0.001279,579.695557,481.84491,19.64002,525.653259,473.949768,27.346544,483.81311,475.873688,31.293812,455.470184,484.313568,34.532944,480.934906,437.782166,15.324514,407.809296,443.883789,18.234037,366.148224,451.076385,20.99634,335.817993,457.682953,22.59244,476.886932,448.493073,4.452472,391.084564,446.965942,5.007068,341.631927,456.252502,7.079012,306.929657,465.810303,8.961863,477.660431,466.912354,-5.152218,396.595886,460.62738,-5.568089,345.400116,466.800629,-4.207671,308.432953,473.760315,-3.240552,483.633881,491.756561,-13.069288,420.02774,481.891052,-14.248534,380.431244,481.601135,-14.394347,347.852234,483.548492,-14.775442,1
